Path0,Path1,Path2,Path3,Path4,Path5,Path6,Path7,Path8,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22,Path23,Path24,Path25,Path26,Path27,Path28,Path29,Path30,Path31,Path32,Path33,Path34,Path35,Path36,Path37,Path38,Path39,Path40,Path41,Path42,Path43,Path44,Path45,Path46,Path47,Path48,Path49,Path50,Path51,Path52,Path53,Path54,Path55,Path56,Path57,Path58,Path59,Path60,Path61,Path62,Path63,Path64,Path65,Path66,Path67,Path68,Path69,Path70,Path71,Path72,Path73,Path74,Path75,Path76,Path77,Path78,Path79,Path80,Path81,Path82,Path83,Path84,Path85,Path86,Path87,Path88,Path89,Path90,Path91,Path92,Path93,Path94,Path95,Path96,Path97,Path98,Path99
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100.663,101.076,100.607,99.1597,101.77,98.4453,98.8325,99.1531,97.994,99.5526,101.322,98.6629,100.543,99.7084,99.0964,96.5763,100.355,100.456,98.3399,100.941,102.697,99.8287,100.991,100.614,99.425,101.069,99.5797,101.057,100.566,100.066,101.494,99.4907,97.0947,102.108,99.0712,99.5221,99.0851,101.291,98.9485,98.8859,99.211,99.22,100.254,98.1184,100.286,99.8257,99.6546,100.986,96.9274,97.8465,100.115,98.0024,100.073,100.438,98.9759,100.1,98.0725,100.06,99.6416,100.431,98.7834,97.5513,102,98.5618,101.539,99.6771,102.124,99.9354,100.324,100.871,100.822,101.85,100.088,101.311,98.2573,100.674,100.027,101.531,98.3341,99.7627,100.711,100.04,100.11,98.8454,100.32,101.145,99.6627,101.979,102.586,100.114,102.023,99.0206,99.347,100.218,99.8184,101.364,99.6648,100.794,98.4142,100.644
99.98,100.002,101.724,98.9859,103.988,96.3862,98.4868,100.236,97.8374,100.418,100.73,99.6869,99.9378,99.9748,97.5651,95.6265,101.502,99.5151,99.1443,99.4703,103.095,102.137,101.554,99.7283,101.281,100.449,98.9704,100.684,98.4326,98.6502,101.869,101.293,98.3594,101.8,99.6896,97.6375,97.2217,102.649,100.422,97.566,98.8721,97.5061,102.142,97.1723,100.449,101.067,100.598,99.5555,96.3351,98.5937,100.099,97.7944,99.7096,101.032,100.83,101.024,98.7213,102.19,100.498,99.8681,98.0147,99.2322,101.455,99.4723,101.003,99.5654,101.31,101.733,101.106,100.638,98.3751,105.304,100.844,100.292,96.5262,101.347,98.575,102.821,98.0573,99.5577,99.0575,99.7422,100.161,97.5971,99.9854,102.185,102.229,101.51,102.859,98.1233,103.26,101.658,100.054,100.717,100.706,97.8767,100.428,102.29,99.0533,101.578
101.731,99.1637,102.899,98.9717,105.135,94.5316,99.2697,101.339,96.922,100.317,100.877,102.97,99.158,100.995,98.2835,95.3479,99.7242,98.5688,99.0645,99.3667,102.65,100.112,101.351,101.215,100.076,100.953,99.5766,98.392,98.0014,96.7554,100.341,103.374,98.0067,102.406,101.256,98.1827,97.8078,102.077,101.577,96.243,99.4198,99.5949,102.381,97.1327,102.07,101.858,100.063,100.666,96.44,101.21,103.105,98.3285,100.297,99.3416,100.054,99.3045,96.1798,101.975,100.585,100.933,96.6886,97.7323,97.5351,99.6047,101.398,101.797,100.755,102.588,99.1095,99.818,98.9913,102.987,100.979,101.643,97.2144,98.8758,99.8286,102.598,98.1043,98.6149,99.673,99.486,98.8064,95.9489,97.2757,102.372,101.628,101.248,104.103,98.6761,104.678,99.2652,99.5722,100.932,100.112,98.0345,101.634,102.929,97.2305,102.153
102.352,101.426,102.448,101.268,103.135,95.9371,100.808,103.755,97.4815,99.1932,102.746,103.036,99.2707,100.913,96.9342,94.9732,99.1059,98.5441,100.411,97.1022,102.579,101.709,100.438,101.288,99.4286,99.8503,101.433,96.8788,96.5862,96.3941,101.339,104.054,98.59,104.133,102.449,96.7872,98.0647,102.424,101.099,96.2939,100.001,97.4028,103.856,98.5361,100.727,102.595,100.094,97.7474,96.4209,100.59,102.88,98.4624,100.275,99.92,98.4773,100.534,96.6593,103.769,98.0901,101.181,95.4954,98.5811,97.5135,97.2316,99.6521,102.022,100.526,103.819,97.9317,99.6755,99.3215,102.608,101.007,101.919,97.8935,100.163,100.369,103.017,95.9648,98.131,100.824,100.509,97.3227,94.4179,96.7725,102.352,102.805,101.369,101.948,98.3971,105.671,100.653,99.3134,99.8205,101.202,97.9742,102.479,102.574,97.2928,100.794
102.204,101.001,102.168,100.126,103.877,95.689,100.366,102.836,98.2778,100.14,103.803,102.397,98.9196,100.911,96.0773,96.503,102.61,97.5497,99.1601,97.1845,101.508,100.558,102.294,100.481,99.4677,100.186,103.068,99.1581,97.4894,95.4277,101.084,105.749,98.0731,104.214,101.138,97.0096,96.4751,104.044,100.747,95.0252,101.086,97.0798,103.087,97.5797,99.5854,102.544,99.1297,98.5239,98.4242,100.794,103.768,97.849,98.3303,98.8475,97.864,100.583,98.3095,103.302,97.6454,100.055,95.6565,96.6275,100.103,97.4616,98.7757,101.601,102.357,104.676,96.6402,101.854,99.0068,102.256,100.572,101.782,99.6162,100.623,100.995,104.155,97.4562,97.524,99.5426,100.695,96.4342,92.9948,97.8037,103.134,102.659,101.182,101.324,99.4308,106.789,99.9773,100.236,100.087,101.774,97.456,102.594,102.089,96.7012,100.229
101.043,99.0609,101.064,99.0102,105.558,97.2055,99.8004,101.806,96.9347,101.293,103.392,103.986,99.2845,98.3968,94.8101,96.5257,103.541,96.6854,98.6137,97.3376,102.861,98.6638,103.245,100.895,100.423,100.919,103.732,101.837,98.4411,94.7182,102.614,106.092,96.9777,103.287,100.819,98.0957,97.4612,105.144,101.672,95.4645,101.912,96.7461,103.994,95.0705,99.8111,101.858,95.6851,98.7236,96.9871,100.561,102.026,99.0932,96.4477,100.235,98.2346,97.7793,96.8513,104.575,97.7534,98.6517,96.0736,96.3429,99.5587,96.2156,99.3492,103.257,103.375,103.756,97.0857,103.087,101.868,105.392,100.125,100.97,100.019,102.074,101.169,101.62,95.8512,99.0668,99.3417,100.577,96.2949,94.0517,100.315,101.855,102.106,102.535,101.958,98.3574,105.944,99.0179,100.953,100.959,102.891,96.552,103.148,103.433,94.9946,99.9731
100.429,99.7966,101.813,100.081,108.83,97.469,99.2958,101.71,98.2097,100.694,102.039,103.168,98.9975,99.3848,92.8474,96.8331,101.198,97.8415,97.8188,98.3213,102.088,96.9463,104.277,101.136,100.691,103.596,104.6,101.803,98.8388,94.8853,102.485,108.022,96.601,104.53,103.613,97.7244,98.8244,103.246,101.13,94.1017,103.314,95.8772,103.388,95.1235,99.9459,101.846,93.5867,97.2118,95.7042,100.978,101.988,98.4659,95.9202,99.4347,98.1437,99.6125,96.9921,106.017,98.711,97.3248,94.0354,96.2487,101.11,97.4281,98.4628,104.152,101.56,103.768,99.696,101.651,103.52,104.522,101.971,100.411,97.8799,99.3467,102.548,100.039,95.1606,98.0392,98.286,98.0226,97.3514,93.6428,99.0606,98.6792,103.632,104.275,103.15,99.4599,107.516,98.0086,100.984,101.068,100.566,98.0065,101.887,102.456,92.9813,102.232
97.9283,100.04,100.84,98.9562,108.384,96.8429,98.8159,103.953,97.8766,102.058,99.0562,102.399,99.8827,99.7579,92.644,96.91,101.396,96.6371,99.109,98.5286,101.312,96.3715,103.494,98.7664,98.3788,105.107,104.376,99.3499,97.0836,96.4173,99.9848,106.866,95.0561,105.566,103.756,97.7349,98.4528,102.724,100.958,94.4168,104.145,96.7898,104.004,95.1408,100.69,103.088,93.5067,97.2329,96.6747,103.357,101.388,97.4589,94.1217,99.2139,97.5111,98.5663,97.0203,108.497,99.5318,96.629,92.9549,94.6737,99.7086,98.447,98.6822,105.121,102.288,104.534,98.1435,102.894,101.527,105.765,102.63,99.9634,96.8095,98.4188,103.771,99.9262,96.673,98.8086,100.886,99.3388,97.3075,93.4987,97.6457,98.4273,104.396,103.265,103.194,99.9209,107.27,96.7664,103.653,100.18,100.15,96.7106,100.551,102.556,92.2957,102.959
96.8001,100.338,101.137,101.875,111.13,97.8652,96.7807,104.002,97.3093,103.688,97.7467,104.507,100.231,98.4427,92.5301,96.9342,102.513,97.7947,100.443,98.3473,101.054,96.9122,106.304,97.9639,98.2118,105.657,103.012,100.271,96.3192,95.5701,98.7276,106.113,94.5702,106.722,103.083,95.5181,98.8302,103.925,99.7491,91.6591,105.779,95.8886,104.628,91.2021,100.003,104.272,93.1181,98.2901,96.1207,102.191,99.1483,99.1876,91.5066,99.0869,97.9762,98.8514,98.0125,105.1,99.6675,97.4006,94.7157,95.9577,99.3995,96.8275,98.3428,105.091,105.142,104.47,97.6014,103.474,100.589,106.914,105.776,103.168,94.7133,98.6625,103.843,101.742,96.7686,98.8194,98.6462,100.825,97.8016,92.5297,97.606,98.3251,105.893,105.634,100.719,100.267,108.749,96.3648,102.333,98.8906,101.528,94.8579,99.4802,103.219,90.5314,103.56
